Film,Production,Cast
Paranormal Activity: The Marked Ones,Paramount Pictures,"Christopher Landon (director/screenplay); Andrew Jacobs, Jorge Diaz, Gabrielle Walsh, Jessica Tyler Brown, Chloe Csengery, Renée Victor"
Open Grave,Tribeca Films / 852 Films,"Gonzálo López-Gallego (director); Chris Borey, Eddie Borey (screenplay); Sharlto Copley, Thomas Kretschmann, Joseph Morgan, Erin Richards, Josie Ho, Max Wrottesley"
Cold Comes the Night,Sony Pictures Worldwide Acquisitions,"Tze Chun (director/screenplay); Oz Perkins, Nick Simon (screenplay); Alice Eve, Logan Marshall-Green, Bryan Cranston, Ursula Parker, Leo Fitzpatrick"
Dumbbells,GoDigital,"Christopher Livingston (director); Brian Drolet, Hoyt Richards (screenplay); Brian Drolet, Hoyt Richards, Taylor Cole, Mircea Monroe"
The Legend of Hercules,Summit Entertainment / Millennium Films,"Renny Harlin (director); Sean Hood, Daniel Giat (screenplay); Kellan Lutz, Gaia Weiss, Scott Adkins, Roxanne McKee, Liam Garrigan, Liam McIntyre, Johnathon Schaech, Rade Šerbedžija"
Raze,IFC Midnight,"Josh C. Waller (director); Robert Beaucage (screenplay); Zoë Bell, Rachel Nichols, Tracie Thoms, Sherilyn Fenn, Doug Jones, Bruce Thomas, Rebecca Marshall, Adrienne Wilkinson, Allene Quincy, Bailey Borders, Jordan James Smith"
Back in the Day,Screen Media Films,"Michael Rosenbaum (director/screenplay); Morena Baccarin, Danielle Bisutti, Liz Carey, Emma Caulfield, Sarah Colonna, Jay R. Ferguson, Mike Hagerty, Isaiah Mustafa, Kristoffer Polaha, Michael Rosenbaum, Nick Swardson, Harland Williams"
Devil's Due,20th Century Fox,"Matt Bettinelli-Olpin, Tyler Gillett (director); Lindsay Devlin (screenplay); Allison Miller, Zach Gilford"
Jack Ryan: Shadow Recruit,Paramount Pictures / Skydance Productions,"Kenneth Branagh (director); Adam Cozad, David Koepp (screenplay); Chris Pine, Kevin Costner, Kenneth Branagh, Keira Knightley"
Jamesy Boy,Phase 4 Films,"Trevor White (director/screenplay); Lane Shadgett (screenplay); Spencer Lofranco, Mary-Louise Parker, Ving Rhames, Taissa Farmiga, Michael Trotter, Rosa Salazar, Ben Rosenfield, Jimmy ""Taboo"" Gomez, James Woods"
The Nut Job,Open Road Films,"Peter Lepeniotis (director/screenplay); Lorne Cameron (screenplay); Will Arnett, Brendan Fraser, Liam Neeson, Katherine Heigl, Stephen Lang, Jeff Dunham, Gabriel Iglesias, Sarah Gadon"
