Film,Production,Cast
Shadow in the Cloud,Vertical Entertainment,"Roseanne Liang (director/screenplay); Max Landis (screenplay); Chloë Grace Moretz, Taylor John Smith, Beulah Koale, Callan Mulvey, Nick Robinson"
The White Tiger,Netflix / Noruz Films,"Ramin Bahrani (director/screenplay); Adarsh Gourav, Rajkummar Rao, Priyanka Chopra Jonas"
Locked Down,HBO Max / Warner Bros. Pictures,"Doug Liman (director); Steven Knight (screenplay); Anne Hathaway, Chiwetel Ejiofor, Stephen Merchant, Mindy Kaling, Lucy Boynton, Dulé Hill, Jazmyn Simon, Mark Gatiss, Claes Bang, Ben Stiller, Ben Kingsley"
The Dig,Netflix / Clerkenwell Films,"Simon Stone (director); Moira Buffini (screenplay); Carey Mulligan, Ralph Fiennes, Lily James, Johnny Flynn, Ben Chaplin, Ken Stott, Archie Barnes, Monica Dolan"
Outside the Wire,Netflix,"Mikael Håfström (director); Rob Yescombe, Rowan Athale (screenplay); Anthony Mackie, Damson Idris, Emily Beecham, Michael Kelly, Pilou Asbæk"
The Marksman,Open Road Films,"Robert Lorenz (director/screenplay); Chris Charles, Danny Kravitz (screenplay); Liam Neeson, Katheryn Winnick, Juan Pablo Raba, Teresa Ruiz"
The Ultimate Playlist of Noise,Hulu,"Bennett Lasseter (director); Mitchell Winkie (screenplay); Keean Johnson, Madeline Brewer, Rya Kihlstedt, Ian Gomez, Bonnie Hunt"
American Skin,Vertical Entertainment,"Nate Parker (director/screenplay); Nate Parker, Omari Hardwick, Theo Rossi, Shane Paul McGhie, Milauna Jackson, Beau Knapp"
Don't Tell a Soul,Lionsgate / Saban Films,"Alex McAulay (director/screenplay); Jack Dylan Grazer, Fionn Whitehead, Rainn Wilson, Mena Suvari"
Our Friend,Gravitas Ventures / Black Bear Pictures,"Gabriela Cowperthwaite (director); Brad Ingelsby (screenplay); Jason Segel, Dakota Johnson, Casey Affleck, Gwendoline Christie, Cherry Jones"
No Man's Land,IFC Films,"Conor Allyn (director); Jake Allyn, David Barraza (screenplay); Jake Allyn, Frank Grillo, Jorge A. Jiménez, Andie MacDowell, George Lopez"
Born a Champion,Lionsgate,"Alex Ranarivelo (director/screenplay); Sean Patrick Flanery (screenplay); Sean Patrick Flanery, Dennis Quaid, Katrina Bowden"
