Film,Production,Cast
The Woman in Black: Angel of Death,Relativity Media / Hammer Films,"Tom Harper (director); Jon Croker (screenplay); Phoebe Fox, Jeremy Irvine, Helen McCrory, Adrian Rawlins, Leanne Best, Ned Dennehy"
Taken 3,20th Century Fox,"Olivier Megaton (director); Luc Besson, Robert Mark Kamen (screenplay); Liam Neeson, Forest Whitaker, Famke Janssen, Maggie Grace, Dougray Scott, Sam Spruell, Leland Orser"
Let's Kill Ward's Wife,Well Go USA Entertainment,"Scott Foley (director/screenplay); Patrick Wilson, Scott Foley, Donald Faison, James Carpinello, Amy Acker, Dagmara Domińczyk, Marika Domińczyk, Greg Grunberg, Nicollette Sheridan"
Match,IFC Films,"Stephen Belber (director/screenplay); Patrick Stewart, Carla Gugino, Matthew Lillard"
Blackhat,Universal Pictures / Legendary Pictures,"Michael Mann (director); Morgan Davis Foehl (screenplay); Chris Hemsworth, Tang Wei, Viola Davis, Ritchie Coster, Holt McCallany, Yorick van Wageningen, Wang Leehom"
Little Accidents,Amplify,"Sara Colangelo (director/screenplay); Elizabeth Banks, Boyd Holbrook, Chloë Sevigny, Jacob Lofland, Josh Lucas"
Paddington,StudioCanal,"Paul King (director/screenplay); Hugh Bonneville, Sally Hawkins, Julie Walters, Jim Broadbent, Peter Capaldi, Nicole Kidman, Ben Whishaw"
Spare Parts,Lionsgate,"Sean McNamara (director); Elissa Matsueda (screenplay); George Lopez, Jamie Lee Curtis, Carlos PenaVega, Esai Morales, José Julián, David Del Rio, Oscar Gutierrez, Alexa PenaVega, Alessandra Rosaldo, Marisa Tomei"
The Wedding Ringer,Screen Gems / Miramax Films / Will Packer Productions,"Jeremy Garelick (director/screenplay); Jay Lavender (screenplay); Kevin Hart, Josh Gad, Kaley Cuoco, Ken Howard, Cloris Leachman, Jenifer Lewis, Mimi Rogers, Olivia Thirlby"
Vice,Lionsgate,"Brian A. Miller (director); Andre Fabrizio, Jeremy Passmore (screenplay); Thomas Jane, Bruce Willis, Ambyr Childers, Johnathon Schaech, Bryan Greenberg, Charlotte Kirk, Tyler Olson"
Veronika Decides to Die,Entertainment One,"Emily Young (director); Roberta Hanley, Larry Gross (screenplay); Sarah Michelle Gellar, Jonathan Tucker, Erika Christensen, Florencia Lozano, Melissa Leo, David Thewlis"
The Boy Next Door,Universal Pictures,"Rob Cohen (director); Barbara Curry (screenplay); Jennifer Lopez, Ryan Guzman, John Corbett, Ian Nelson, Kristin Chenoweth"
The Humbling,Millennium Films,"Barry Levinson (director); Buck Henry, Michal Zebede (screenplay); Al Pacino, Greta Gerwig, Dianne Wiest, Nina Arianda, Dylan Baker, Charles Grodin, Dan Hedaya, Billy Porter, Kyra Sedgwick, Mary Louise Wilson"
Mortdecai,Lionsgate / OddLot Entertainment,"David Koepp (director); Eric Aronson (screenplay); Johnny Depp, Gwyneth Paltrow, Ewan McGregor, Olivia Munn, Jeff Goldblum, Paul Bettany"
Song One,Cinedigm,"Kate Barker-Froyland (director/screenplay); Anne Hathaway, Johnny Flynn, Ben Rosenfield, Mary Steenburgen"
Strange Magic,Touchstone Pictures / Lucasfilm / Walt Disney Studios Motion Pictures,"Gary Rydstrom (director/screenplay); David Berenbaum. Irene Mecchi (screenplay); Alan Cumming, Evan Rachel Wood, Kristin Chenoweth, Maya Rudolph, Sam Palladio, Alfred Molina"
We'll Never Have Paris,Orion Pictures,"Simon Helberg (director/screenplay); Simon Helberg, Melanie Lynskey, Zachary Quinto, Maggie Grace, Jason Ritter, Alfred Molina"
Black or White,Relativity Media,"Mike Binder (director/screenplay); Kevin Costner, Octavia Spencer, Jillian Estell, Bill Burr, Jennifer Ehle, Andre Holland, Gillian Jacobs, Anthony Mackie"
